Tsat (K)	rhol (kg/m3)	rhov (kg/m3)	Psat (bar)	DeltaHv (kJ/mol)
520	440.62291	0	21.41273	17.2594
510	464.87719	0	18.3271	19.24509
500	485.79252	0	15.62129	20.90407
490	504.47088	0	13.25069	22.34472
480	521.5237	0	11.17749	23.62697
470	537.33032	0	9.36924	24.78792
460	552.14457	0	7.79781	25.85233
450	566.14578	0	6.43848	26.83769
440	579.46601	0	5.26924	27.75685
430	592.20569	0	4.27023	28.61959
420	604.44327	0	3.42332	29.43355
410	616.24134	0	2.71181	30.20484
400	627.65073	0	2.12014	30.93841
390	638.71341	0	1.63379	31.63837
