Tsat (K)	rhol (kg/m3)	rhov (kg/m3)	Psat (bar)	DeltaHv (kJ/mol)
490	451.21566	0	24.4784	15.15978
480	475.98706	0	20.8654	17.30341
470	497.20585	0	17.687	19.04702
460	516.06717	0	14.9014	20.51833
450	533.22581	0	12.4707	21.79067
440	549.08469	0	10.36	22.91109
430	563.91179	0	8.53708	23.91217
420	577.89562	0	6.9726	24.81777
410	591.1745	0	5.63928	25.64609
400	603.85332	0	4.51191	26.4115
390	616.01383	0	3.56712	27.12568
380	627.7211	0	2.78327	27.7983
370	639.02792	0	2.14022	28.43755
360	649.97779	0	1.61937	29.0505
