Tsat (K)	rhol (kg/m3)	rhov (kg/m3)	Psat (bar)	DeltaHv (kJ/mol)
570	434.53552	0	17.74241	18.67496
560	457.47723	0	15.32066	21.27902
550	477.37885	0	13.16667	23.45755
540	495.22082	0	11.25689	25.34153
530	511.55534	0	9.56971	27.00746
520	526.72846	0	8.08526	28.5048
510	540.97334	0	6.7852	29.86783
500	554.45557	0	5.65252	31.12158
490	567.29762	0	4.67138	32.28506
480	579.59293	0	3.82702	33.37317
470	591.41467	0	3.10562	34.39789
460	602.82138	0	2.49421	35.36908
450	613.86068	0	1.98065	36.29498
440	624.57195	0	1.55355	37.18263
430	634.98816	0	1.20224	38.0381
420	645.13724	0	0.916778	38.86669
