Tsat (K)	rhol (kg/m3)	rhov (kg/m3)	Psat (bar)	DeltaHv (kJ/mol)
550	429.44719	0	20.31869	17.72085
540	454.55061	0	17.48413	20.0078
530	475.87353	0	14.98846	21.88979
520	494.74688	0	12.79276	23.51128
510	511.8765	0	10.86389	24.94858
500	527.68797	0	9.17335	26.24754
490	542.46041	0	7.69637	27.4381
480	556.38817	0	6.41118	28.54099
470	569.61272	0	5.29837	29.57128
460	582.24072	0	4.34049	30.54023
450	594.35487	0	3.52162	31.45655
440	606.02073	0	2.82709	32.32711
430	617.29131	0	2.2433	33.15743
420	628.21015	0	1.75754	33.95202
410	638.81352	0	1.35793	34.71462
