Tsat (K)	rhol (kg/m3)	rhov (kg/m3)	Psat (bar)	DeltaHv (kJ/mol)
370	625.308129	3.71172793	0.947388323	30.78769882
380	615.889676	4.83145318	1.25146738	30.10838554
390	606.214564	6.20173912	1.62626405	29.40132368
400	596.246582	7.86283042	2.08204461	28.66273584
410	585.943286	9.86076802	2.62963421	27.88840415
420	575.254231	12.2489543	3.2803943	27.07352553
430	564.118552	15.0903586	4.04621513	26.21251458
440	552.461568	18.4606836	4.93952821	25.29872606
450	540.189875	22.4530305	5.97334535	24.32405373
460	527.18405	27.185007	7.16133473	23.2783259
470	513.287326	32.810003	8.51795076	22.14836242
480	498.287137	39.5359702	10.0586465	20.91642942
490	481.883029	47.6586196	11.8002179	19.55755346
500	463.625831	57.6247863	13.7613687	18.03447207
510	442.787433	70.1669196	15.9636682	16.28702211
520	418.026481	86.6394505	18.4332876	14.20559605
530	386.223374	110.149891	21.2047106	11.54089484
