Tsat (K)	rhol (kg/m3)	rhov (kg/m3)	Psat (bar)	DeltaHv (kJ/mol)
320	636.853133	2.34086938	0.701706368	28.17934311
330	627.313023	3.1849231	0.976139067	27.6153549
340	617.517055	4.2478315	1.32774232	27.02908586
350	607.431687	5.5669104	1.76989643	26.4171178
360	597.018489	7.18397052	2.31677758	25.77569194
370	586.232835	9.14650243	2.98328109	25.10060065
380	575.022116	11.509412	3.78497096	24.38703554
390	563.32328	14.337554	4.7380653	23.62937523
400	551.059307	17.7094702	5.85946903	22.82087757
410	538.134011	21.7230327	7.16686952	21.95322734
420	524.424051	26.5042357	8.67891855	21.01584098
430	509.76605	32.2214821	10.4155382	19.99475552
440	493.934573	39.110062	12.3984138	18.87075065
450	476.601626	47.5170599	14.6517872	17.61595503
460	457.254627	57.9915658	17.2037647	16.18712516
470	435.006424	71.490599	20.0885919	14.51052398
480	408.05525	89.9518641	23.3510018	12.44041544
