Tsat (K)	rhol (kg/m3)	rhov (kg/m3)	Psat (bar)	DeltaHv (kJ/mol)
290	623.187283	2.11088057	0.681895287	25.36523056
300	613.080292	2.96068996	0.979493366	24.82191636
310	602.712816	4.05565847	1.36998989	24.25496826
320	592.044774	5.44235506	1.87125252	23.66037093
330	581.029614	7.17357724	2.50236226	23.03372081
340	569.612354	9.31006107	3.28349081	22.37007104
350	557.726894	11.9230345	4.23581376	21.66372125
360	545.292251	15.0980151	5.38147331	20.90792757
370	532.207114	18.9405291	6.74360465	20.0944868
380	518.341678	23.5849477	8.34644487	19.21312091
390	503.524882	29.2086648	10.2155521	18.25052083
400	487.523287	36.0560242	12.3781812	17.18877383
410	470.003485	44.4814768	14.8638997	16.0025857
420	450.45815	55.0346852	17.7056074	14.65388402
430	428.038399	68.6509731	20.9413124	13.07982599
440	401.082729	87.1704552	24.6175522	11.16005099

