Tsat (K)	rhol (kg/m3)	rhov (kg/m3)	Psat (bar)	DeltaHv (kJ/mol)
320	628.055469	2.17790798	0.648546478	28.66049927
330	618.381121	2.99017375	0.909240986	28.05044802
340	608.470998	4.02267629	1.24573674	27.41642461
350	598.290356	5.31565461	1.67184125	26.75460455
360	587.798864	6.91470089	2.2023049	26.06078594
370	576.948954	8.87214725	2.85274364	25.33024439
380	565.683572	11.24911	3.63958483	24.55753832
390	553.933029	14.1185007	4.58004644	23.73624224
400	541.610471	17.5695152	5.69216084	22.8585699
410	528.605154	21.7144815	6.99485758	21.91482467
420	514.772042	26.699658	8.50812612	20.89256231
430	499.915	32.7230218	10.253291	19.77525524
440	483.757909	40.0652628	12.2534546	18.54003022
450	465.891136	49.1478494	14.5342051	17.1535427
460	445.661289	60.6528372	17.1247764	15.56367125
470	421.907002	75.8063448	20.0600383	13.68023964
