Tsat (K)	rhol (kg/m3)	rhov (kg/m3)	Psat (bar)	DeltaHv (kJ/mol)
250	606.283907	1.82532367	0.633494211	21.79535351
260	595.372057	2.68479025	0.958848399	21.29262008
270	584.171301	3.82845394	1.40169249	20.76622655
280	572.635153	5.31635437	1.98760827	20.21178174
290	560.707751	7.21695408	2.74401983	19.62442523
300	548.32087	9.60963655	3.6999496	18.99864315
310	535.389652	12.5885716	4.88584279	18.32801497
320	521.806257	16.2687197	6.33348869	17.60486076
330	507.430124	20.7954888	8.07607957	16.81954452
340	492.072232	26.3607966	10.1484416	15.95898531
350	475.467974	33.2302408	12.5874279	15.00458664
360	457.226055	41.7914821	15.4325075	13.92999127
370	436.721907	52.6515454	18.7268265	12.69636635
380	412.845531	66.8669571	22.5193119	11.23848372
390	383.262576	86.6247101	26.868988	9.42208993
