T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
460 0.425	 0.0956	 24.44	 11.48	 0.576	
450 0.451	 0.0770	 21.06	 13.28	 0.630	
440 0.4727	 0.0628	 18.07	 14.79	 0.678	
430 0.4918	 0.0518	 15.41	 16.05	 0.717	
420 0.5091	 0.0429	 13.05	 17.152	 0.751	
410 0.5250	 0.0355	 10.96	 18.14	 0.781	
400 0.5399	 0.02932	 9.13	 19.03	 0.807	
390 0.5540	 0.02410	 7.53	 19.86	 0.831	
380 0.5672	 0.01968	 6.150	 20.61	 0.852	
370 0.5794	 0.01594	 4.963	 21.31	 0.872	
360 0.5912	 0.01279	 3.955	 21.95	 0.890	
350 0.6027	 0.01015	 3.107	 22.57	 0.906	
340 0.6141	 0.00796	 2.404	 23.16	 0.921	
330 0.625	 0.00615	 1.828	 23.71	 0.934	
