T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
460 0.425	0.002	 0.0956	0.0008	 24.44	0.08	 11.48	0.04	 0.576	0.007	
450 0.451	0.001	 0.0770	0.0005	 21.06	0.05	 13.28	0.04	 0.630	0.005	
440 0.4727	0.0006	 0.0628	0.0003	 18.07	0.04	 14.79	0.03	 0.678	0.004	
430 0.4918	0.0004	 0.0518	0.0002	 15.41	0.03	 16.05	0.02	 0.717	0.004	
420 0.5091	0.0005	 0.0429	0.0002	 13.05	0.02	 17.152	0.007	 0.751	0.003	
410 0.5250	0.0005	 0.0355	0.0001	 10.96	0.01	 18.14	0.01	 0.781	0.003	
400 0.5399	0.0003	 0.02932	0.00008	 9.13	0.01	 19.03	0.01	 0.807	0.003	
390 0.5540	0.0004	 0.02410	0.00006	 7.53	0.01	 19.86	0.02	 0.831	0.002	
380 0.5672	0.0004	 0.01968	0.00004	 6.150	0.008	 20.61	0.02	 0.852	0.002	
370 0.5794	0.0004	 0.01594	0.00003	 4.963	0.007	 21.31	0.02	 0.872	0.002	
360 0.5912	0.0003	 0.01279	0.00002	 3.955	0.006	 21.95	0.02	 0.890	0.002	
350 0.6027	0.0004	 0.01015	0.00001	 3.107	0.006	 22.57	0.02	 0.906	0.002	
340 0.6141	0.0006	 0.00796	0.00001	 2.404	0.006	 23.16	0.03	 0.921	0.003	
330 0.625	0.001	 0.00615	0.00001	 1.828	0.005	 23.71	0.05	 0.934	0.004	
320 0.635	0.001	 0.00467	0.00001	 1.364	0.004	 24.23	0.06	 0.946	0.004	
310 0.646	0.001	 0.00349	0.00001	 0.996	0.004	 24.74	0.04	 0.956	0.005	
300 0.657	0.001	 0.002545	0.000007	 0.711	0.003	 25.22	0.03	 0.965	0.005	
290 0.667	0.002	 0.001814	0.000006	 0.494	0.003	 25.73	0.08	 0.973	0.006	
