T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
400 0.4251	0.0006	 0.0749	0.0003	 21.42	0.06	 11.32	0.04	 0.620	0.004	
390 0.4490	0.0005	 0.0597	0.0002	 18.07	0.05	 12.80	0.03	 0.674	0.003	
380 0.4693	0.0002	 0.04807	0.00008	 15.14	0.05	 14.04	0.02	 0.719	0.003	
370 0.4870	0.0003	 0.03895	0.00004	 12.57	0.05	 15.08	0.02	 0.757	0.003	
360 0.5031	0.0006	 0.03157	0.00004	 10.34	0.04	 16.00	0.02	 0.790	0.004	
350 0.5180	0.0006	 0.02549	0.00004	 8.42	0.04	 16.81	0.02	 0.819	0.005	
340 0.5320	0.0004	 0.02045	0.00004	 6.77	0.04	 17.55	0.01	 0.845	0.005	
330 0.5454	0.0003	 0.01627	0.00004	 5.37	0.04	 18.24	0.01	 0.868	0.007	
320 0.5583	0.0004	 0.01280	0.00005	 4.19	0.03	 18.88	0.02	 0.888	0.008	
310 0.5705	0.0004	 0.00994	0.00005	 3.22	0.03	 19.46	0.02	 0.91	0.01	
300 0.5821	0.0005	 0.00760	0.00005	 2.42	0.02	 20.01	0.02	 0.92	0.01	
290 0.5935	0.0007	 0.00571	0.00005	 1.79	0.02	 20.53	0.03	 0.94	0.01	
280 0.6047	0.0008	 0.00420	0.00005	 1.29	0.02	 21.02	0.04	 0.95	0.02	
270 0.6159	0.0007	 0.00302	0.00004	 0.90	0.01	 21.50	0.03	 0.96	0.02	
