T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
540 0.429	0.003	 0.094	0.002	 21.20	0.07	 14.4	0.1	 0.57	0.02	
530 0.453	0.002	 0.0772	0.0007	 18.54	0.05	 16.44	0.06	 0.623	0.007	
520 0.4748	0.0009	 0.0639	0.0002	 16.14	0.04	 18.25	0.03	 0.668	0.004	
510 0.4934	0.0005	 0.0534	0.0002	 14.00	0.04	 19.79	0.02	 0.706	0.003	
500 0.5099	0.0005	 0.0449	0.0001	 12.07	0.03	 21.13	0.02	 0.739	0.003	
490 0.5250	0.0005	 0.0378	0.0001	 10.35	0.03	 22.32	0.02	 0.767	0.003	
480 0.5390	0.0004	 0.03182	0.00008	 8.82	0.02	 23.40	0.02	 0.793	0.003	
470 0.5521	0.0003	 0.02671	0.00006	 7.46	0.02	 24.40	0.01	 0.816	0.003	
460 0.5645	0.0002	 0.02233	0.00005	 6.26	0.02	 25.32	0.01	 0.838	0.003	
450 0.5764	0.0002	 0.01857	0.00004	 5.22	0.02	 26.188	0.007	 0.857	0.004	
440 0.5878	0.0002	 0.01535	0.00003	 4.30	0.02	 27.01	0.01	 0.876	0.004	
430 0.5989	0.0003	 0.01260	0.00003	 3.52	0.01	 27.78	0.02	 0.892	0.004	
420 0.6097	0.0005	 0.01026	0.00003	 2.85	0.01	 28.52	0.03	 0.908	0.005	
410 0.6201	0.0008	 0.00827	0.00003	 2.27	0.01	 29.23	0.04	 0.922	0.006	
400 0.630	0.001	 0.00660	0.00003	 1.80	0.01	 29.90	0.05	 0.934	0.007	
390 0.6398	0.0009	 0.00521	0.00003	 1.40	0.01	 30.53	0.05	 0.945	0.009	
380 0.6493	0.0006	 0.00406	0.00002	 1.073	0.009	 31.15	0.04	 0.96	0.01	
