T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
540 0.432	0.008	 0.097	0.003	 22.6	0.1	 14.1	0.1	 0.59	0.02	
530 0.462	0.003	 0.0814	0.0009	 19.85	0.07	 16.03	0.06	 0.63	0.01	
520 0.4845	0.0009	 0.0685	0.0003	 17.36	0.06	 17.68	0.03	 0.670	0.005	
510 0.5032	0.0007	 0.0578	0.0002	 15.10	0.05	 19.10	0.03	 0.704	0.004	
500 0.5198	0.0007	 0.0489	0.0001	 13.07	0.04	 20.37	0.03	 0.735	0.003	
490 0.5351	0.0005	 0.04136	0.00008	 11.25	0.04	 21.52	0.02	 0.763	0.004	
480 0.5495	0.0002	 0.03495	0.00006	 9.62	0.04	 22.57	0.01	 0.788	0.004	
470 0.5631	0.0003	 0.02946	0.00006	 8.17	0.04	 23.55	0.01	 0.811	0.004	
460 0.5759	0.0006	 0.02473	0.00005	 6.89	0.03	 24.45	0.03	 0.832	0.005	
450 0.5880	0.0007	 0.02067	0.00005	 5.76	0.03	 25.29	0.03	 0.851	0.006	
440 0.5995	0.0004	 0.01718	0.00004	 4.78	0.03	 26.08	0.02	 0.869	0.006	
430 0.6108	0.0004	 0.01419	0.00003	 3.92	0.03	 26.83	0.03	 0.884	0.007	
420 0.6218	0.0005	 0.01162	0.00003	 3.19	0.03	 27.55	0.04	 0.898	0.008	
410 0.6324	0.0005	 0.00944	0.00003	 2.56	0.03	 28.23	0.03	 0.91	0.01	
400 0.6426	0.0008	 0.00758	0.00003	 2.03	0.02	 28.87	0.03	 0.92	0.01	
390 0.6525	0.0008	 0.00602	0.00004	 1.59	0.02	 29.48	0.03	 0.93	0.01	
380 0.6625	0.0004	 0.00471	0.00004	 1.23	0.02	 30.10	0.02	 0.94	0.02	
370 0.6721	0.0007	 0.00364	0.00004	 0.93	0.02	 30.67	0.04	 0.95	0.02	
