T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
540 0.449	 0.0964	 22.13	 14.48	 0.584	
530 0.4750	 0.0799	 19.38	 16.43	 0.629	
520 0.4969	 0.0666	 16.91	 18.15	 0.671	
510 0.5156	 0.0559	 14.68	 19.62	 0.708	
500 0.5323	 0.0471	 12.68	 20.90	 0.740	
490 0.5477	 0.03979	 10.90	 22.05	 0.768	
480 0.5622	 0.03358	 9.30	 23.11	 0.793	
470 0.5760	 0.02826	 7.88	 24.089	 0.815	
460 0.5890	 0.02368	 6.631	 25.00	 0.836	
450 0.6011	 0.01974	 5.532	 25.84	 0.856	
440 0.6126	 0.01636	 4.575	 26.62	 0.873	
430 0.6237	 0.01347	 3.748	 27.36	 0.889	
420 0.6345	 0.01100	 3.039	 28.07	 0.904	
410 0.645	 0.00890	 2.436	 28.75	 0.917	
400 0.655	 0.00712	 1.928	 29.40	 0.930	
390 0.6657	 0.00564	 1.506	 30.04	 0.940	
380 0.6759	 0.00441	 1.158	 30.65	 0.950	
370 0.6857	 0.00339	 0.876	 31.23	 0.959	
360 0.6952	 0.00257	 0.651	 31.79	 0.966	
350 0.7046	 0.00192	 0.474	 32.33	 0.972	
