T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
540 0.449	0.001	 0.0964	0.0006	 22.13	0.05	 14.48	0.08	 0.584	0.005	
530 0.4750	0.0006	 0.0799	0.0004	 19.38	0.04	 16.43	0.04	 0.629	0.004	
520 0.4969	0.0003	 0.0666	0.0003	 16.91	0.03	 18.15	0.02	 0.671	0.004	
510 0.5156	0.0003	 0.0559	0.0002	 14.68	0.02	 19.62	0.01	 0.708	0.003	
500 0.5323	0.0004	 0.0471	0.0001	 12.68	0.02	 20.90	0.02	 0.740	0.003	
490 0.5477	0.0003	 0.03979	0.00008	 10.90	0.02	 22.05	0.02	 0.768	0.002	
480 0.5622	0.0002	 0.03358	0.00006	 9.30	0.01	 23.11	0.01	 0.793	0.002	
470 0.5760	0.0002	 0.02826	0.00005	 7.88	0.01	 24.089	0.009	 0.815	0.002	
460 0.5890	0.0002	 0.02368	0.00004	 6.631	0.009	 25.00	0.01	 0.836	0.002	
450 0.6011	0.0002	 0.01974	0.00004	 5.532	0.009	 25.84	0.02	 0.856	0.002	
440 0.6126	0.0002	 0.01636	0.00003	 4.575	0.008	 26.62	0.02	 0.873	0.002	
430 0.6237	0.0003	 0.01347	0.00003	 3.748	0.008	 27.36	0.02	 0.889	0.003	
420 0.6345	0.0007	 0.01100	0.00002	 3.039	0.008	 28.07	0.03	 0.904	0.003	
410 0.645	0.001	 0.00890	0.00001	 2.436	0.008	 28.75	0.04	 0.917	0.004	
400 0.655	0.001	 0.00712	0.00001	 1.928	0.008	 29.40	0.05	 0.930	0.005	
390 0.6657	0.0009	 0.00564	0.00002	 1.506	0.008	 30.04	0.05	 0.940	0.006	
380 0.6759	0.0008	 0.00441	0.00002	 1.158	0.007	 30.65	0.04	 0.950	0.007	
370 0.6857	0.0008	 0.00339	0.00001	 0.876	0.005	 31.23	0.04	 0.959	0.007	
360 0.6952	0.0007	 0.00257	0.00001	 0.651	0.004	 31.79	0.03	 0.966	0.008	
350 0.7046	0.0009	 0.00192	0.00001	 0.474	0.003	 32.33	0.04	 0.972	0.009	
