T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
460 0.4423	 0.0933	 24.16	 11.90	 0.584	
450 0.4688	 0.0757	 20.80	 13.61	 0.633	
440 0.4915	 0.0617	 17.81	 15.12	 0.680	
430 0.5109	 0.05071	 15.16	 16.400	 0.721	
420 0.5282	 0.04189	 12.82	 17.497	 0.755	
410 0.5439	 0.03464	 10.76	 18.466	 0.785	
400 0.5587	 0.02857	 8.95	 19.34	 0.812	
390 0.5726	 0.02345	 7.37	 20.15	 0.836	
380 0.5858	 0.01913	 6.01	 20.89	 0.857	
370 0.5984	 0.01547	 4.85	 21.58	 0.877	
360 0.6105	 0.01240	 3.86	 22.23	 0.895	
350 0.6220	 0.00983	 3.03	 22.83	 0.912	
340 0.6331	 0.00770	 2.34	 23.40	 0.927	
330 0.6441	 0.00594	 1.78	 23.94	 0.940	
320 0.6553	 0.00451	 1.33	 24.48	 0.952	
310 0.6665	 0.00336	 0.967	 25.01	 0.96	
