T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
460 0.4423	0.0002	 0.0933	0.0005	 24.16	0.06	 11.90	0.04	 0.584	0.005	
450 0.4688	0.0002	 0.0757	0.0003	 20.80	0.05	 13.61	0.03	 0.633	0.004	
440 0.4915	0.0002	 0.0617	0.0001	 17.81	0.05	 15.12	0.02	 0.680	0.003	
430 0.5109	0.0002	 0.05071	0.00007	 15.16	0.05	 16.400	0.008	 0.721	0.003	
420 0.5282	0.0002	 0.04189	0.00006	 12.82	0.04	 17.497	0.006	 0.755	0.003	
410 0.5439	0.0002	 0.03464	0.00006	 10.76	0.04	 18.466	0.009	 0.785	0.004	
400 0.5587	0.0002	 0.02857	0.00005	 8.95	0.04	 19.34	0.01	 0.812	0.004	
390 0.5726	0.0003	 0.02345	0.00005	 7.37	0.03	 20.15	0.02	 0.836	0.004	
380 0.5858	0.0003	 0.01913	0.00005	 6.01	0.03	 20.89	0.02	 0.857	0.005	
370 0.5984	0.0003	 0.01547	0.00005	 4.85	0.03	 21.58	0.02	 0.877	0.006	
360 0.6105	0.0003	 0.01240	0.00004	 3.86	0.02	 22.23	0.01	 0.895	0.006	
350 0.6220	0.0003	 0.00983	0.00004	 3.03	0.02	 22.83	0.01	 0.912	0.007	
340 0.6331	0.0004	 0.00770	0.00004	 2.34	0.02	 23.40	0.02	 0.927	0.008	
330 0.6441	0.0006	 0.00594	0.00003	 1.78	0.01	 23.94	0.03	 0.940	0.008	
320 0.6553	0.0004	 0.00451	0.00002	 1.33	0.01	 24.48	0.02	 0.952	0.009	
310 0.6665	0.0004	 0.00336	0.00002	 0.967	0.008	 25.01	0.01	 0.96	0.01	
