T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
380 0.4059	 0.0792	 25.89	 9.96	 0.601	
370 0.4319	 0.06223	 21.74	 11.47	 0.660	
360 0.4534	 0.04960	 18.11	 12.71	 0.709	
350 0.4720	 0.03984	 14.96	 13.737	 0.750	
340 0.4889	 0.03202	 12.22	 14.633	 0.785	
330 0.50450	 0.02564	 9.87	 15.432	 0.816	
320 0.5191	 0.02038	 7.87	 16.154	 0.843	
310 0.5330	 0.01605	 6.18	 16.813	 0.868	
300 0.5461	 0.01249	 4.77	 17.420	 0.890	
290 0.5588	 0.00958	 3.62	 17.984	 0.910	
280 0.5710	 0.00723	 2.68	 18.51	 0.927	
270 0.5828	 0.00534	 1.94	 19.00	 0.942	
260 0.5944	 0.00385	 1.368	 19.47	 0.954	
250 0.6057	 0.00271	 0.934	 19.91	 0.965	
