T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
530 0.40	0.02	 0.092	0.006	 20.7	0.2	 14.3	0.2	 0.58	0.05	
520 0.43	0.01	 0.075	0.002	 18.0	0.1	 16.6	0.1	 0.63	0.03	
510 0.456	0.004	 0.0623	0.0009	 15.6	0.1	 18.40	0.08	 0.67	0.01	
500 0.475	0.001	 0.0520	0.0005	 13.43	0.08	 19.97	0.08	 0.710	0.009	
490 0.4919	0.0009	 0.0434	0.0004	 11.50	0.07	 21.36	0.07	 0.743	0.009	
480 0.5072	0.0008	 0.0363	0.0003	 9.79	0.06	 22.63	0.07	 0.772	0.009	
470 0.5212	0.0007	 0.0303	0.0002	 8.27	0.05	 23.78	0.06	 0.798	0.008	
460 0.5343	0.0006	 0.0252	0.0002	 6.94	0.04	 24.83	0.05	 0.822	0.008	
450 0.5466	0.0007	 0.0209	0.0001	 5.77	0.03	 25.81	0.06	 0.844	0.008	
440 0.559	0.001	 0.0172	0.0001	 4.75	0.03	 26.75	0.08	 0.864	0.008	
430 0.570	0.001	 0.01404	0.00008	 3.88	0.02	 27.64	0.08	 0.882	0.008	
420 0.5815	0.0009	 0.01139	0.00007	 3.13	0.02	 28.47	0.05	 0.899	0.008	
410 0.592	0.001	 0.00915	0.00005	 2.50	0.02	 29.24	0.06	 0.915	0.008	
400 0.601	0.001	 0.00727	0.00004	 1.97	0.02	 29.95	0.06	 0.928	0.009	
390 0.610	0.001	 0.00572	0.00004	 1.53	0.01	 30.59	0.07	 0.94	0.01	
380 0.6191	0.0007	 0.00445	0.00003	 1.17	0.01	 31.24	0.04	 0.95	0.01	
370 0.6288	0.0009	 0.00340	0.00003	 0.881	0.001	 31.90	0.06	 0.96	0.01	
