T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
410 0.400	 0.084	 23.26	 10.8	 0.59	
400 0.427	 0.0661	 19.63	 12.56	 0.645	
390 0.4494	 0.0526	 16.45	 14.04	 0.696	
380 0.4684	 0.0422	 13.67	 15.28	 0.739	
370 0.4854	 0.0341	 11.26	 16.35	 0.776	
360 0.5009	 0.02740	 9.18	 17.29	 0.807	
350 0.5151	 0.02194	 7.39	 18.13	 0.835	
340 0.5285	 0.01744	 5.88	 18.89	 0.860	
330 0.5413	 0.01373	 4.61	 19.61	 0.883	
320 0.5537	 0.01067	 3.55	 20.28	 0.903	
310 0.5656	 0.00818	 2.69	 20.91	 0.920	
300 0.5769	 0.00617	 1.99	 21.49	 0.936	
290 0.5881	 0.00456	 1.44	 22.05	 0.95	
280 0.599	 0.00329	 1.020	 22.58	 0.96	
