T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
410 0.400	0.003	 0.084	0.002	 23.26	0.05	 10.8	0.1	 0.59	0.02	
400 0.427	0.001	 0.0661	0.0006	 19.63	0.03	 12.56	0.07	 0.645	0.007	
390 0.4494	0.0007	 0.0526	0.0002	 16.45	0.02	 14.04	0.04	 0.696	0.003	
380 0.4684	0.0003	 0.0422	0.0001	 13.67	0.01	 15.28	0.02	 0.739	0.003	
370 0.4854	0.0002	 0.0341	0.0001	 11.26	0.01	 16.35	0.02	 0.776	0.003	
360 0.5009	0.0002	 0.02740	0.00007	 9.18	0.01	 17.29	0.02	 0.807	0.003	
350 0.5151	0.0002	 0.02194	0.00005	 7.39	0.02	 18.13	0.01	 0.835	0.003	
340 0.5285	0.0006	 0.01744	0.00003	 5.88	0.02	 18.89	0.02	 0.860	0.003	
330 0.5413	0.0008	 0.01373	0.00002	 4.61	0.02	 19.61	0.03	 0.883	0.004	
320 0.5537	0.0007	 0.01067	0.00002	 3.55	0.02	 20.28	0.02	 0.903	0.005	
310 0.5656	0.0005	 0.00818	0.00003	 2.69	0.02	 20.91	0.02	 0.920	0.007	
300 0.5769	0.0004	 0.00617	0.00003	 1.99	0.01	 21.49	0.02	 0.936	0.008	
290 0.5881	0.0004	 0.00456	0.00003	 1.44	0.01	 22.05	0.02	 0.95	0.01	
280 0.599	0.001	 0.00329	0.00002	 1.020	0.009	 22.58	0.04	 0.96	0.01	
