T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
550 0.419	 0.0982	 22.17	 14.57	 0.564	
540 0.445	 0.0804	 19.35	 16.84	 0.612	
530 0.4670	 0.0661	 16.81	 18.87	 0.659	
520 0.4861	 0.0549	 14.54	 20.60	 0.700	
510 0.5028	 0.0459	 12.51	 22.08	 0.734	
500 0.5178	 0.03849	 10.71	 23.38	 0.764	
490 0.5317	 0.03227	 9.10	 24.57	 0.791	
480 0.5448	 0.02700	 7.69	 25.66	 0.815	
470 0.5573	 0.02250	 6.44	 26.68	 0.837	
460 0.5693	 0.01866	 5.35	 27.64	 0.857	
450 0.5809	 0.01538	 4.41	 28.55	 0.875	
440 0.5921	 0.01258	 3.59	 29.42	 0.892	
430 0.6028	 0.01021	 2.90	 30.24	 0.907	
420 0.6130	 0.00821	 2.31	 31.01	 0.921	
410 0.6229	 0.00653	 1.821	 31.74	 0.934	
400 0.6327	 0.00514	 1.414	 32.46	 0.945	
390 0.6421	 0.00399	 1.082	 33.13	 0.955	
380 0.6510	 0.00306	 0.814	 33.77	 0.963	
370 0.6598	 0.00230	 0.601	 34.39	 0.970	
