T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
470 0.4306	 0.0813	 21.91	 13.65	 0.594	
460 0.4537	 0.0650	 18.73	 15.56	 0.649	
450 0.4738	 0.05259	 15.94	 17.19	 0.698	
440 0.4915	 0.04301	 13.48	 18.56	 0.738	
430 0.5075	 0.03533	 11.31	 19.74	 0.772	
420 0.5222	 0.02902	 9.42	 20.80	 0.801	
410 0.5360	 0.02376	 7.78	 21.76	 0.827	
400 0.5489	 0.01935	 6.35	 22.65	 0.851	
390 0.5612	 0.01565	 5.13	 23.46	 0.872	
380 0.5729	 0.01255	 4.10	 24.23	 0.891	
370 0.5843	 0.00997	 3.23	 24.96	 0.908	
360 0.5952	 0.00782	 2.51	 25.64	 0.92	
350 0.6058	 0.00606	 1.91	 26.29	 0.94	
340 0.6159	 0.00462	 1.44	 26.90	 0.95	
330 0.6258	 0.00346	 1.06	 27.49	 0.96	
320 0.6356	 0.00254	 0.76	 28.06	 0.97	
