T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
380 0.4161	0.0003	 0.0687	0.0003	 23.49	0.05	 11.46	0.02	 0.629	0.003	
370 0.4400	0.0002	 0.0536	0.0002	 19.52	0.04	 13.02	0.02	 0.687	0.003	
360 0.4602	0.0001	 0.0426	0.0001	 16.08	0.04	 14.26	0.01	 0.733	0.003	
350 0.4780	0.0003	 0.03395	0.00007	 13.10	0.03	 15.32	0.01	 0.771	0.003	
340 0.4943	0.0003	 0.02700	0.00004	 10.56	0.03	 16.26	0.01	 0.804	0.003	
330 0.5095	0.0002	 0.02134	0.00003	 8.39	0.03	 17.104	0.007	 0.833	0.003	
320 0.5238	0.0003	 0.01672	0.00002	 6.58	0.03	 17.875	0.008	 0.859	0.004	
310 0.5374	0.0003	 0.01295	0.00002	 5.06	0.02	 18.587	0.009	 0.882	0.005	
300 0.5504	0.0002	 0.00988	0.00002	 3.83	0.02	 19.248	0.006	 0.902	0.006	
290 0.5628	0.0005	 0.00742	0.00002	 2.83	0.02	 19.86	0.02	 0.920	0.007	
280 0.5746	0.0005	 0.00546	0.00002	 2.05	0.02	 20.43	0.02	 0.936	0.009	
270 0.5861	0.0004	 0.00392	0.00002	 1.44	0.01	 20.97	0.03	 0.95	0.01	
260 0.5974	0.0004	 0.00275	0.00002	 0.98	0.01	 21.49	0.02	 0.96	0.01	
