T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
570 0.4387	 0.1004	 23.41	 14.83	 0.562	
560 0.4610	 0.0823	 20.60	 17.01	 0.614	
550 0.4811	 0.0682	 18.08	 18.92	 0.662	
540 0.4987	 0.0573	 15.80	 20.52	 0.701	
530 0.5144	 0.0486	 13.76	 21.89	 0.734	
520 0.5288	 0.0413	 11.92	 23.11	 0.762	
510 0.5423	 0.0351	 10.27	 24.22	 0.788	
500 0.5549	 0.02981	 8.79	 25.24	 0.810	
490 0.5668	 0.02523	 7.48	 26.18	 0.831	
480 0.5780	 0.02127	 6.32	 27.06	 0.851	
470 0.5889	 0.01784	 5.30	 27.90	 0.868	
460 0.5995	 0.01488	 4.41	 28.69	 0.884	
450 0.6096	 0.01232	 3.630	 29.44	 0.899	
440 0.6193	 0.01013	 2.962	 30.15	 0.913	
430 0.629	 0.00826	 2.391	 30.83	 0.925	
420 0.638	 0.00667	 1.909	 31.47	 0.937	
410 0.647	 0.00533	 1.505	 32.09	 0.947	
400 0.656	 0.00421	 1.170	 32.69	 0.956	
390 0.664	 0.00328	 0.897	 33.28	 0.964	
