T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
570 0.4387	0.0009	 0.1004	0.0004	 23.41	0.08	 14.83	0.05	 0.562	0.004	
560 0.4610	0.0007	 0.0823	0.0005	 20.60	0.07	 17.01	0.05	 0.614	0.005	
550 0.4811	0.0003	 0.0682	0.0005	 18.08	0.05	 18.92	0.04	 0.662	0.006	
540 0.4987	0.0002	 0.0573	0.0004	 15.80	0.04	 20.52	0.03	 0.701	0.006	
530 0.5144	0.0003	 0.0486	0.0002	 13.76	0.03	 21.89	0.02	 0.734	0.005	
520 0.5288	0.0003	 0.0413	0.0002	 11.92	0.02	 23.11	0.02	 0.762	0.004	
510 0.5423	0.0003	 0.0351	0.0001	 10.27	0.02	 24.22	0.02	 0.788	0.003	
500 0.5549	0.0003	 0.02981	0.00007	 8.79	0.02	 25.24	0.02	 0.810	0.003	
490 0.5668	0.0004	 0.02523	0.00004	 7.48	0.02	 26.18	0.02	 0.831	0.002	
480 0.5780	0.0004	 0.02127	0.00003	 6.32	0.01	 27.06	0.03	 0.851	0.002	
470 0.5889	0.0004	 0.01784	0.00003	 5.30	0.01	 27.90	0.03	 0.868	0.002	
460 0.5995	0.0003	 0.01488	0.00002	 4.41	0.01	 28.69	0.02	 0.884	0.003	
450 0.6096	0.0003	 0.01232	0.00002	 3.630	0.008	 29.44	0.02	 0.899	0.003	
440 0.6193	0.0007	 0.01013	0.00002	 2.962	0.007	 30.15	0.04	 0.913	0.003	
430 0.629	0.001	 0.00826	0.00002	 2.391	0.006	 30.83	0.06	 0.925	0.003	
420 0.638	0.001	 0.00667	0.00002	 1.909	0.005	 31.47	0.08	 0.937	0.004	
410 0.647	0.001	 0.00533	0.00002	 1.505	0.005	 32.09	0.07	 0.947	0.004	
400 0.656	0.001	 0.00421	0.00001	 1.170	0.004	 32.69	0.05	 0.956	0.005	
390 0.664	0.001	 0.00328	0.00001	 0.897	0.003	 33.28	0.04	 0.964	0.005	
