T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
520 0.4273	 0.090	 23.08	 14.3	 0.60	
510 0.4511	 0.0737	 20.13	 16.25	 0.646	
500 0.4710	 0.0614	 17.48	 17.86	 0.687	
490 0.4884	 0.0515	 15.10	 19.24	 0.721	
480 0.5039	 0.04330	 12.96	 20.46	 0.752	
470 0.5181	 0.03640	 11.06	 21.55	 0.779	
460 0.5315	 0.03054	 9.38	 22.56	 0.804	
450 0.5444	 0.02554	 7.89	 23.51	 0.827	
440 0.5568	 0.02126	 6.58	 24.40	 0.848	
430 0.5687	 0.01759	 5.44	 25.24	 0.867	
420 0.5800	 0.01445	 4.45	 26.03	 0.884	
410 0.5908	 0.01177	 3.60	 26.77	 0.899	
400 0.6009	 0.00950	 2.88	 27.45	 0.913	
390 0.6104	 0.00759	 2.27	 28.08	 0.926	
380 0.620	 0.00599	 1.77	 28.72	 0.938	
370 0.630	 0.00467	 1.36	 29.37	 0.948	
360 0.640	 0.00358	 1.024	 29.97	 0.96	
350 0.649	 0.00270	 0.757	 30.54	 0.97	
