T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
530 0.4024	 0.098	 21.20	 13.7	 0.56	
520 0.4292	 0.0791	 18.44	 16.0	 0.616	
510 0.451	 0.0649	 15.97	 17.90	 0.663	
500 0.469	 0.0539	 13.77	 19.51	 0.703	
490 0.485	 0.0449	 11.81	 20.92	 0.737	
480 0.5005	 0.0376	 10.07	 22.19	 0.767	
470 0.5144	 0.0314	 8.52	 23.34	 0.794	
460 0.5274	 0.0261	 7.16	 24.40	 0.819	
450 0.5399	 0.02166	 5.96	 25.40	 0.841	
440 0.5518	 0.01786	 4.92	 26.33	 0.861	
430 0.563	 0.01463	 4.03	 27.21	 0.879	
420 0.575	 0.01189	 3.26	 28.07	 0.896	
410 0.585	 0.00957	 2.60	 28.8	 0.91	
400 0.595	 0.00763	 2.05	 29.54	 0.93	
390 0.604	 0.00601	 1.60	 30.23	 0.94	
380 0.6143	 0.00468	 1.23	 30.93	 0.95	
370 0.623	 0.00359	 0.93	 31.6	 0.96	
