T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
550 0.415	0.002	 0.0974	0.0004	 21.95	0.05	 14.49	0.07	 0.563	0.003	
540 0.441	0.001	 0.0798	0.0003	 19.16	0.04	 16.76	0.07	 0.611	0.003	
530 0.463	0.001	 0.0656	0.0002	 16.66	0.03	 18.78	0.06	 0.659	0.003	
520 0.482	0.001	 0.0545	0.0001	 14.42	0.02	 20.50	0.06	 0.700	0.003	
510 0.4985	0.0008	 0.0455	0.0001	 12.41	0.02	 21.98	0.05	 0.734	0.002	
500 0.5135	0.0006	 0.03821	0.00008	 10.63	0.02	 23.28	0.03	 0.764	0.002	
490 0.5274	0.0004	 0.03206	0.00007	 9.04	0.02	 24.46	0.03	 0.791	0.003	
480 0.5403	0.0004	 0.02683	0.00007	 7.64	0.02	 25.55	0.03	 0.815	0.003	
470 0.5526	0.0004	 0.02238	0.00006	 6.41	0.02	 26.56	0.03	 0.837	0.003	
460 0.5644	0.0003	 0.01858	0.00004	 5.33	0.02	 27.51	0.03	 0.857	0.003	
450 0.5759	0.0002	 0.01533	0.00003	 4.39	0.01	 28.41	0.02	 0.875	0.004	
440 0.5870	0.0003	 0.01256	0.00002	 3.59	0.01	 29.27	0.02	 0.892	0.004	
430 0.5975	0.0006	 0.01021	0.00002	 2.90	0.01	 30.07	0.03	 0.906	0.005	
420 0.6074	0.0009	 0.00822	0.00003	 2.31	0.01	 30.82	0.05	 0.920	0.006	
410 0.6171	0.0009	 0.00655	0.00003	 1.82	0.01	 31.54	0.05	 0.932	0.007	
400 0.6266	0.0007	 0.00516	0.00003	 1.416	0.009	 32.24	0.04	 0.943	0.008	
390 0.6359	0.0007	 0.00401	0.00002	 1.085	0.008	 32.91	0.04	 0.952	0.009	
380 0.6447	0.0009	 0.00308	0.00002	 0.817	0.006	 33.54	0.05	 0.96	0.01	
370 0.653	0.001	 0.00232	0.00002	 0.604	0.005	 34.16	0.06	 0.97	0.01	
