T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
500 0.4194	 0.0818	 20.09	 14.76	 0.592	
490 0.4429	 0.0657	 17.27	 16.88	 0.647	
480 0.4630	 0.0535	 14.78	 18.64	 0.693	
470 0.4806	 0.04407	 12.57	 20.13	 0.731	
460 0.4967	 0.03642	 10.62	 21.44	 0.764	
450 0.5115	 0.03008	 8.91	 22.63	 0.793	
440 0.5254	 0.02477	 7.41	 23.71	 0.820	
430 0.5383	 0.02030	 6.11	 24.71	 0.843	
420 0.5505	 0.01654	 4.99	 25.64	 0.865	
410 0.5620	 0.01338	 4.03	 26.50	 0.885	
400 0.5730	 0.01074	 3.21	 27.30	 0.902	
390 0.5837	 0.00853	 2.53	 28.07	 0.92	
380 0.5940	 0.00670	 1.97	 28.79	 0.93	
370 0.6042	 0.00519	 1.50	 29.49	 0.94	
360 0.615	 0.00396	 1.13	 30.19	 0.95	
350 0.624	 0.00298	 0.83	 30.85	 0.96	
