T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
500 0.4194	0.0006	 0.0818	0.0004	 20.09	0.05	 14.76	0.05	 0.592	0.004	
490 0.4429	0.0003	 0.0657	0.0002	 17.27	0.05	 16.88	0.03	 0.647	0.003	
480 0.4630	0.0003	 0.0535	0.0001	 14.78	0.05	 18.64	0.03	 0.693	0.003	
470 0.4806	0.0004	 0.04407	0.00008	 12.57	0.04	 20.13	0.02	 0.731	0.003	
460 0.4967	0.0003	 0.03642	0.00006	 10.62	0.04	 21.44	0.02	 0.764	0.004	
450 0.5115	0.0003	 0.03008	0.00004	 8.91	0.04	 22.63	0.02	 0.793	0.004	
440 0.5254	0.0003	 0.02477	0.00003	 7.41	0.03	 23.71	0.02	 0.820	0.004	
430 0.5383	0.0004	 0.02030	0.00002	 6.11	0.03	 24.71	0.02	 0.843	0.005	
420 0.5505	0.0005	 0.01654	0.00002	 4.99	0.03	 25.64	0.03	 0.865	0.006	
410 0.5620	0.0006	 0.01338	0.00003	 4.03	0.03	 26.50	0.03	 0.885	0.007	
400 0.5730	0.0004	 0.01074	0.00003	 3.21	0.03	 27.30	0.02	 0.902	0.009	
390 0.5837	0.0003	 0.00853	0.00003	 2.53	0.03	 28.07	0.02	 0.92	0.01	
380 0.5940	0.0004	 0.00670	0.00003	 1.97	0.03	 28.79	0.04	 0.93	0.01	
370 0.6042	0.0008	 0.00519	0.00003	 1.50	0.02	 29.49	0.06	 0.94	0.02	
360 0.615	0.001	 0.00396	0.00004	 1.13	0.02	 30.19	0.07	 0.95	0.02	
350 0.624	0.001	 0.00298	0.00004	 0.83	0.02	 30.85	0.07	 0.96	0.02	
