T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
440 0.4009	 0.0871	 25.25	 11.51	 0.572	
430 0.4271	 0.0689	 21.46	 13.43	 0.629	
420 0.4495	 0.0550	 18.13	 15.08	 0.682	
410 0.46855	 0.04439	 15.21	 16.447	 0.725	
400 0.48545	 0.03606	 12.67	 17.615	 0.762	
390 0.5009	 0.02930	 10.45	 18.647	 0.793	
380 0.5152	 0.02372	 8.53	 19.58	 0.821	
370 0.5288	 0.01909	 6.89	 20.44	 0.846	
360 0.5417	 0.01524	 5.49	 21.24	 0.869	
350 0.5542	 0.012045	 4.32	 21.98	 0.889	
340 0.5661	 0.00941	 3.34	 22.68	 0.906	
330 0.5774	 0.00725	 2.54	 23.33	 0.922	
320 0.5882	 0.00549	 1.896	 23.94	 0.936	
310 0.5987	 0.00409	 1.385	 24.52	 0.948	
300 0.6091	 0.00298	 0.987	 25.08	 0.958	
290 0.6193	 0.00212	 0.685	 25.62	 0.966	
