T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
510 0.4052	 0.0867	 20.93	 14.30	 0.570	
500 0.4306	 0.0695	 18.02	 16.56	 0.624	
490 0.4520	 0.0564	 15.44	 18.49	 0.673	
480 0.4705	 0.04632	 13.15	 20.11	 0.713	
470 0.4871	 0.03822	 11.13	 21.51	 0.747	
460 0.5023	 0.03157	 9.36	 22.77	 0.777	
450 0.5163	 0.02601	 7.80	 23.917	 0.803	
440 0.5294	 0.02135	 6.45	 24.972	 0.827	
430 0.5420	 0.01743	 5.28	 25.96	 0.849	
420 0.5540	 0.01412	 4.27	 26.88	 0.868	
410 0.5654	 0.01135	 3.42	 27.75	 0.886	
400 0.5765	 0.00903	 2.70	 28.58	 0.902	
390 0.5872	 0.00711	 2.11	 29.37	 0.92	
380 0.5976	 0.00552	 1.62	 30.12	 0.93	
370 0.6074	 0.00423	 1.22	 30.83	 0.94	
360 0.6171	 0.00319	 0.90	 31.51	 0.95	
350 0.6269	 0.00236	 0.66	 32.18	 0.96	
