T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
470 0.4214	 0.0768	 20.73	 14.12	 0.595	
460 0.4444	 0.0613	 17.66	 16.05	 0.649	
450 0.4644	 0.0494	 14.96	 17.72	 0.698	
440 0.4819	 0.0402	 12.60	 19.12	 0.738	
430 0.4977	 0.03285	 10.53	 20.35	 0.773	
420 0.5123	 0.02684	 8.73	 21.44	 0.803	
410 0.5260	 0.02186	 7.17	 22.44	 0.829	
400 0.5390	 0.01771	 5.83	 23.37	 0.853	
390 0.5514	 0.01424	 4.68	 24.23	 0.874	
380 0.5630	 0.01135	 3.71	 25.02	 0.893	
370 0.5742	 0.00895	 2.91	 25.76	 0.910	
360 0.5849	 0.00697	 2.24	 26.47	 0.925	
350 0.5953	 0.00536	 1.70	 27.138	 0.94	
340 0.6055	 0.00405	 1.26	 27.78	 0.95	
330 0.6154	 0.00301	 0.92	 28.39	 0.96	
320 0.6250	 0.00219	 0.653	 28.98	 0.96	
