T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
390 0.3859	 0.0836	 27.27	 10.00	 0.584	
380 0.4154	 0.0655	 22.85	 11.75	 0.642	
370 0.4387	 0.0517	 18.99	 13.21	 0.695	
360 0.4582	 0.04113	 15.64	 14.41	 0.738	
350 0.4757	 0.03283	 12.75	 15.46	 0.776	
340 0.4917	 0.02612	 10.27	 16.38	 0.808	
330 0.5065	 0.02066	 8.17	 17.21	 0.837	
320 0.5204	 0.01619	 6.40	 17.97	 0.863	
310 0.5337	 0.01254	 4.93	 18.67	 0.886	
300 0.5464	 0.00958	 3.72	 19.32	 0.906	
290 0.5585	 0.007195	 2.76	 19.918	 0.924	
280 0.5703	 0.005298	 1.99	 20.49	 0.939	
270 0.5822	 0.00381	 1.40	 21.05	 0.952	
260 0.5933	 0.00267	 0.955	 21.56	 0.96	
250 0.6038	 0.00181	 0.629	 22.04	 0.97	
