T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
550 0.403	 0.1018	 22.31	 13.8	 0.547	
540 0.429	 0.0834	 19.47	 16.1	 0.594	
530 0.453	 0.0682	 16.91	 18.2	 0.643	
520 0.473	 0.0563	 14.63	 20.09	 0.686	
510 0.4906	 0.0469	 12.58	 21.66	 0.723	
500 0.5062	 0.0392	 10.77	 23.03	 0.755	
490 0.5205	 0.0328	 9.16	 24.26	 0.783	
480 0.5337	 0.02738	 7.73	 25.38	 0.808	
470 0.5462	 0.02279	 6.48	 26.42	 0.831	
460 0.5580	 0.01889	 5.39	 27.38	 0.852	
450 0.5693	 0.01556	 4.44	 28.29	 0.871	
440 0.5802	 0.01274	 3.62	 29.15	 0.888	
430 0.5909	 0.01034	 2.92	 29.98	 0.904	
420 0.6013	 0.00832	 2.33	 30.77	 0.918	
410 0.6114	 0.00662	 1.840	 31.53	 0.931	
400 0.6210	 0.00521	 1.430	 32.24	 0.943	
390 0.6302	 0.00405	 1.096	 32.91	 0.954	
380 0.6396	 0.00310	 0.826	 33.59	 0.963	
