T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
540 0.4263	 0.0803	 18.72	 16.75	 0.593	
530 0.4494	 0.0651	 16.18	 19.01	 0.645	
520 0.4692	 0.0534	 13.93	 20.93	 0.690	
510 0.4865	 0.0442	 11.93	 22.56	 0.727	
500 0.5022	 0.03679	 10.16	 24.00	 0.759	
490 0.5166	 0.03061	 8.59	 25.29	 0.787	
480 0.5300	 0.02541	 7.214	 26.48	 0.813	
470 0.5427	 0.02102	 6.010	 27.58	 0.836	
460 0.5548	 0.01730	 4.963	 28.62	 0.857	
450 0.5663	 0.01415	 4.061	 29.59	 0.876	
440 0.5775	 0.01149	 3.289	 30.52	 0.894	
430 0.5884	 0.00925	 2.634	 31.41	 0.910	
420 0.5990	 0.00738	 2.083	 32.26	 0.924	
410 0.6091	 0.005820	 1.626	 33.06	 0.936	
400 0.6187	 0.004536	 1.250	 33.81	 0.947	
390 0.6279	 0.003487	 0.946	 34.53	 0.956	
380 0.6371	 0.002639	 0.704	 35.24	 0.964	
370 0.646	 0.001963	 0.513	 35.9	 0.971	
