T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
520 0.4084	 0.0945	 22.83	 13.76	 0.560	
510 0.4341	 0.0760	 19.76	 16.06	 0.615	
500 0.4561	 0.0618	 17.03	 18.04	 0.665	
490 0.4750	 0.05090	 14.61	 19.69	 0.706	
480 0.4918	 0.04223	 12.45	 21.11	 0.740	
470 0.5071	 0.03510	 10.55	 22.37	 0.770	
460 0.5214	 0.02912	 8.86	 23.53	 0.797	
450 0.5347	 0.02408	 7.39	 24.59	 0.822	
440 0.5472	 0.019821	 6.11	 25.57	 0.844	
430 0.5592	 0.016215	 5.002	 26.49	 0.865	
420 0.5708	 0.01317	 4.053	 27.36	 0.883	
410 0.5820	 0.01060	 3.246	 28.19	 0.900	
400 0.5929	 0.00845	 2.567	 28.98	 0.915	
390 0.6032	 0.00666	 2.002	 29.73	 0.929	
380 0.6133	 0.00519	 1.538	 30.44	 0.941	
370 0.6229	 0.00398	 1.162	 31.11	 0.951	
360 0.6323	 0.00301	 0.862	 31.76	 0.961	
350 0.6416	 0.002229	 0.627	 32.39	 0.969	
