T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
560 0.427	 0.0936	 22.33	 15.4	 0.585	
550 0.4520	 0.0772	 19.58	 17.62	 0.634	
540 0.4727	 0.0645	 17.10	 19.45	 0.675	
530 0.4905	 0.0543	 14.87	 21.01	 0.709	
520 0.5061	 0.04591	 12.86	 22.37	 0.740	
510 0.5202	 0.03883	 11.06	 23.59	 0.767	
500 0.5336	 0.03280	 9.46	 24.72	 0.792	
490 0.5465	 0.02763	 8.03	 25.78	 0.815	
480 0.5587	 0.02318	 6.77	 26.78	 0.836	
470 0.5702	 0.01936	 5.67	 27.70	 0.856	
460 0.5811	 0.01607	 4.70	 28.56	 0.874	
450 0.59187	 0.01326	 3.86	 29.40	 0.890	
440 0.6023	 0.01086	 3.15	 30.19	 0.90	
430 0.6121	 0.00881	 2.53	 30.93	 0.92	
420 0.6217	 0.00709	 2.02	 31.65	 0.93	
410 0.6313	 0.00564	 1.58	 32.35	 0.94	
400 0.641	 0.00443	 1.23	 33.0	 0.95	
390 0.6495	 0.00344	 0.94	 33.65	 0.96	
