T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
560 0.427	0.001	 0.0936	0.0009	 22.33	0.06	 15.4	0.1	 0.585	0.007	
550 0.4520	0.0008	 0.0772	0.0004	 19.58	0.05	 17.62	0.07	 0.634	0.005	
540 0.4727	0.0006	 0.0645	0.0002	 17.10	0.05	 19.45	0.05	 0.675	0.004	
530 0.4905	0.0007	 0.0543	0.0001	 14.87	0.05	 21.01	0.04	 0.709	0.003	
520 0.5061	0.0006	 0.04591	0.00009	 12.86	0.04	 22.37	0.04	 0.740	0.003	
510 0.5202	0.0006	 0.03883	0.00007	 11.06	0.04	 23.59	0.04	 0.767	0.004	
500 0.5336	0.0006	 0.03280	0.00005	 9.46	0.04	 24.72	0.04	 0.792	0.004	
490 0.5465	0.0007	 0.02763	0.00003	 8.03	0.04	 25.78	0.05	 0.815	0.005	
480 0.5587	0.0007	 0.02318	0.00003	 6.77	0.04	 26.78	0.05	 0.836	0.005	
470 0.5702	0.0005	 0.01936	0.00003	 5.67	0.04	 27.70	0.05	 0.856	0.006	
460 0.5811	0.0003	 0.01607	0.00002	 4.70	0.04	 28.56	0.05	 0.874	0.008	
450 0.59187	0.00009	 0.01326	0.00002	 3.86	0.04	 29.40	0.04	 0.890	0.009	
440 0.6023	0.0004	 0.01086	0.00001	 3.15	0.04	 30.19	0.03	 0.90	0.01	
430 0.6121	0.0007	 0.00881	0.00002	 2.53	0.04	 30.93	0.04	 0.92	0.01	
420 0.6217	0.0004	 0.00709	0.00003	 2.02	0.03	 31.65	0.05	 0.93	0.02	
410 0.6313	0.0007	 0.00564	0.00004	 1.58	0.03	 32.35	0.08	 0.94	0.02	
400 0.641	0.001	 0.00443	0.00004	 1.23	0.03	 33.0	0.1	 0.95	0.02	
390 0.6495	0.0009	 0.00344	0.00004	 0.94	0.02	 33.65	0.09	 0.96	0.03	
