T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
520 0.399	0.001	 0.0963	0.0008	 23.06	0.06	 13.5	0.1	 0.555	0.006	
510 0.4263	0.0009	 0.0768	0.0003	 19.96	0.05	 15.92	0.07	 0.614	0.004	
500 0.4484	0.0006	 0.0626	0.0002	 17.21	0.05	 17.89	0.03	 0.663	0.003	
490 0.4671	0.0004	 0.0517	0.0001	 14.76	0.04	 19.52	0.02	 0.702	0.003	
480 0.4836	0.0004	 0.04289	0.00009	 12.58	0.04	 20.93	0.02	 0.736	0.003	
470 0.4988	0.0002	 0.03563	0.00008	 10.65	0.04	 22.20	0.01	 0.767	0.004	
460 0.5131	0.0005	 0.02954	0.00007	 8.96	0.04	 23.37	0.03	 0.794	0.004	
450 0.5269	0.0006	 0.02441	0.00007	 7.47	0.03	 24.47	0.03	 0.819	0.005	
440 0.5396	0.0004	 0.02007	0.00005	 6.17	0.03	 25.48	0.02	 0.842	0.005	
430 0.5516	0.0004	 0.01641	0.00004	 5.06	0.03	 26.41	0.02	 0.864	0.005	
420 0.5632	0.0003	 0.01331	0.00003	 4.10	0.02	 27.30	0.01	 0.883	0.006	
410 0.5744	0.0005	 0.01071	0.00003	 3.28	0.02	 28.15	0.04	 0.900	0.007	
400 0.5851	0.0006	 0.00854	0.00003	 2.60	0.02	 28.94	0.05	 0.916	0.008	
390 0.5956	0.0004	 0.00673	0.00002	 2.03	0.02	 29.70	0.04	 0.930	0.009	
380 0.6056	0.0005	 0.00524	0.00002	 1.56	0.02	 30.42	0.05	 0.94	0.01	
370 0.6153	0.0008	 0.00402	0.00002	 1.18	0.01	 31.10	0.07	 0.95	0.01	
360 0.6257	0.0006	 0.00304	0.00003	 0.87	0.01	 31.82	0.04	 0.96	0.02	
