T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
480 0.4158	0.0006	 0.0828	0.0005	 23.02	0.07	 13.69	0.04	 0.600	0.005	
470 0.4397	0.0005	 0.0670	0.0003	 19.79	0.06	 15.61	0.02	 0.651	0.005	
460 0.4598	0.0004	 0.0550	0.0002	 16.91	0.05	 17.17	0.02	 0.693	0.004	
450 0.4773	0.0004	 0.0454	0.0002	 14.37	0.04	 18.51	0.02	 0.729	0.004	
440 0.4934	0.0006	 0.0375	0.0001	 12.12	0.03	 19.72	0.03	 0.761	0.003	
430 0.5085	0.0006	 0.03093	0.00006	 10.14	0.03	 20.83	0.03	 0.790	0.003	
420 0.5226	0.0004	 0.02542	0.00004	 8.41	0.03	 21.85	0.02	 0.816	0.003	
410 0.5357	0.0003	 0.02079	0.00003	 6.91	0.02	 22.77	0.01	 0.840	0.004	
400 0.5481	0.0002	 0.01689	0.00003	 5.61	0.02	 23.635	0.009	 0.861	0.004	
390 0.5603	0.0004	 0.01361	0.00002	 4.51	0.02	 24.46	0.02	 0.880	0.005	
380 0.572	0.001	 0.01087	0.00001	 3.58	0.02	 25.24	0.05	 0.898	0.006	
370 0.583	0.001	 0.008578	0.000007	 2.80	0.02	 25.96	0.07	 0.914	0.008	
360 0.5933	0.0008	 0.006688	0.000007	 2.15	0.02	 26.62	0.06	 0.93	0.01	
350 0.6033	0.0007	 0.00514	0.00001	 1.63	0.02	 27.25	0.05	 0.94	0.01	
340 0.6135	0.0005	 0.00389	0.00002	 1.22	0.01	 27.89	0.02	 0.95	0.01	
330 0.624	0.003	 0.00289	0.00002	 0.89	0.01	 28.5	0.1	 0.96	0.02	
