T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
540 0.4196	0.0004	 0.0807	0.0004	 18.56	0.05	 16.54	0.04	 0.585	0.004	
530 0.4426	0.0003	 0.0651	0.0003	 16.04	0.04	 18.85	0.04	 0.638	0.004	
520 0.4625	0.0002	 0.0533	0.0002	 13.80	0.03	 20.82	0.03	 0.684	0.004	
510 0.4799	0.0001	 0.0440	0.0002	 11.81	0.03	 22.50	0.03	 0.722	0.004	
500 0.49570	0.00008	 0.0366	0.0001	 10.05	0.02	 23.96	0.02	 0.755	0.004	
490 0.51022	0.00008	 0.03039	0.00009	 8.49	0.02	 25.28	0.01	 0.783	0.003	
480 0.5238	0.0002	 0.02521	0.00007	 7.12	0.02	 26.491	0.008	 0.809	0.003	
470 0.5367	0.0003	 0.02083	0.00005	 5.93	0.01	 27.62	0.02	 0.832	0.003	
460 0.5489	0.0003	 0.01712	0.00004	 4.89	0.01	 28.67	0.02	 0.853	0.003	
450 0.5605	0.0002	 0.01399	0.00003	 3.996	0.009	 29.66	0.02	 0.872	0.003	
440 0.5715	0.0004	 0.01134	0.00002	 3.231	0.009	 30.58	0.03	 0.889	0.003	
430 0.5821	0.0005	 0.00912	0.00001	 2.584	0.008	 31.46	0.03	 0.905	0.003	
420 0.5925	0.0004	 0.00726	0.00001	 2.041	0.008	 32.30	0.03	 0.919	0.004	
410 0.6026	0.0004	 0.00572	0.00001	 1.590	0.007	 33.11	0.03	 0.932	0.005	
400 0.6121	0.0007	 0.00445	0.00001	 1.221	0.006	 33.87	0.05	 0.943	0.005	
390 0.621	0.001	 0.00341	0.00001	 0.923	0.005	 34.59	0.07	 0.953	0.006	
380 0.631	0.001	 0.00258	0.00001	 0.685	0.003	 35.32	0.07	 0.962	0.007	
370 0.6407	0.0005	 0.00191	0.00001	 0.499	0.002	 36.08	0.04	 0.969	0.007	
