T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
520 0.4273	0.0007	 0.090	0.001	 23.08	0.06	 14.3	0.1	 0.60	0.01	
510 0.4511	0.0005	 0.0737	0.0005	 20.13	0.04	 16.25	0.06	 0.646	0.006	
500 0.4710	0.0008	 0.0614	0.0002	 17.48	0.03	 17.86	0.04	 0.687	0.003	
490 0.4884	0.0006	 0.0515	0.0001	 15.10	0.03	 19.24	0.03	 0.721	0.003	
480 0.5039	0.0002	 0.04330	0.00008	 12.96	0.03	 20.46	0.02	 0.752	0.003	
470 0.5181	0.0004	 0.03640	0.00006	 11.06	0.03	 21.55	0.03	 0.779	0.003	
460 0.5315	0.0007	 0.03054	0.00005	 9.38	0.02	 22.56	0.04	 0.804	0.003	
450 0.5444	0.0008	 0.02554	0.00006	 7.89	0.02	 23.51	0.05	 0.827	0.003	
440 0.5568	0.0008	 0.02126	0.00005	 6.58	0.02	 24.40	0.05	 0.848	0.003	
430 0.5687	0.0004	 0.01759	0.00004	 5.44	0.02	 25.24	0.03	 0.867	0.004	
420 0.5800	0.0003	 0.01445	0.00003	 4.45	0.02	 26.03	0.02	 0.884	0.004	
410 0.5908	0.0005	 0.01177	0.00002	 3.60	0.02	 26.77	0.04	 0.899	0.005	
400 0.6009	0.0006	 0.00950	0.00002	 2.88	0.02	 27.45	0.05	 0.913	0.005	
390 0.6104	0.0007	 0.00759	0.00002	 2.27	0.01	 28.08	0.05	 0.926	0.006	
380 0.620	0.001	 0.00599	0.00002	 1.77	0.01	 28.72	0.06	 0.938	0.007	
370 0.630	0.002	 0.00467	0.00002	 1.36	0.01	 29.37	0.09	 0.948	0.009	
360 0.640	0.002	 0.00358	0.00002	 1.024	0.009	 29.97	0.09	 0.96	0.01	
350 0.649	0.002	 0.00270	0.00002	 0.757	0.008	 30.54	0.09	 0.97	0.01	
