T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
470 0.414	 0.0872	 23.16	 12.63	 0.586	
460 0.439	 0.0699	 19.92	 14.58	 0.642	
450 0.460	 0.0570	 17.04	 16.16	 0.688	
440 0.4780	 0.0470	 14.48	 17.48	 0.726	
430 0.4941	 0.0388	 12.23	 18.63	 0.759	
420 0.5089	 0.03206	 10.24	 19.67	 0.788	
410 0.5228	 0.02639	 8.50	 20.62	 0.814	
400 0.5360	 0.02162	 6.99	 21.49	 0.838	
390 0.5485	 0.01759	 5.69	 22.31	 0.859	
380 0.5604	 0.01420	 4.57	 23.068	 0.878	
370 0.5720	 0.01135	 3.63	 23.79	 0.896	
360 0.5829	 0.00897	 2.84	 24.45	 0.911	
350 0.5934	 0.00700	 2.19	 25.08	 0.925	
340 0.6035	 0.00539	 1.66	 25.68	 0.937	
330 0.6133	 0.00408	 1.230	 26.24	 0.948	
320 0.6229	 0.00303	 0.895	 26.79	 0.958	
310 0.6325	 0.00220	 0.635	 27.32	 0.97	
