T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
470 0.414	0.001	 0.0872	0.0006	 23.16	0.05	 12.63	0.04	 0.586	0.005	
460 0.439	0.001	 0.0699	0.0004	 19.92	0.04	 14.58	0.05	 0.642	0.004	
450 0.460	0.001	 0.0570	0.0002	 17.04	0.03	 16.16	0.04	 0.688	0.004	
440 0.4780	0.0007	 0.0470	0.0001	 14.48	0.03	 17.48	0.04	 0.726	0.003	
430 0.4941	0.0006	 0.0388	0.0001	 12.23	0.03	 18.63	0.04	 0.759	0.003	
420 0.5089	0.0005	 0.03206	0.00008	 10.24	0.02	 19.67	0.03	 0.788	0.003	
410 0.5228	0.0004	 0.02639	0.00006	 8.50	0.02	 20.62	0.02	 0.814	0.003	
400 0.5360	0.0002	 0.02162	0.00005	 6.99	0.02	 21.49	0.02	 0.838	0.003	
390 0.5485	0.0001	 0.01759	0.00004	 5.69	0.02	 22.31	0.01	 0.859	0.003	
380 0.5604	0.0002	 0.01420	0.00003	 4.57	0.02	 23.068	0.007	 0.878	0.004	
370 0.5720	0.0005	 0.01135	0.00002	 3.63	0.01	 23.79	0.02	 0.896	0.004	
360 0.5829	0.0009	 0.00897	0.00002	 2.84	0.01	 24.45	0.04	 0.911	0.005	
350 0.5934	0.0008	 0.00700	0.00002	 2.19	0.01	 25.08	0.03	 0.925	0.006	
340 0.6035	0.0002	 0.00539	0.00002	 1.66	0.01	 25.68	0.01	 0.937	0.007	
330 0.6133	0.0006	 0.00408	0.00002	 1.230	0.009	 26.24	0.04	 0.948	0.008	
320 0.6229	0.0009	 0.00303	0.00001	 0.895	0.007	 26.79	0.05	 0.958	0.009	
310 0.6325	0.0008	 0.00220	0.00001	 0.635	0.005	 27.32	0.05	 0.97	0.01	
