T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
500 0.411	 0.089	 21.21	 13.7	 0.58	
490 0.4364	 0.0716	 18.29	 15.78	 0.628	
480 0.4577	 0.0583	 15.70	 17.58	 0.676	
470 0.4759	 0.0480	 13.40	 19.09	 0.716	
460 0.4921	 0.0397	 11.36	 20.40	 0.750	
450 0.507	 0.0329	 9.57	 21.57	 0.780	
440 0.5207	 0.02717	 8.00	 22.63	 0.806	
430 0.5337	 0.02236	 6.62	 23.60	 0.830	
420 0.5461	 0.01831	 5.44	 24.51	 0.852	
410 0.5580	 0.01489	 4.41	 25.37	 0.871	
400 0.5693	 0.01201	 3.54	 26.17	 0.889	
390 0.5801	 0.00959	 2.81	 26.92	 0.905	
380 0.5906	 0.00758	 2.19	 27.64	 0.919	
370 0.6009	 0.00591	 1.69	 28.33	 0.93	
360 0.6110	 0.00454	 1.28	 28.99	 0.94	
350 0.6205	 0.00343	 0.95	 29.61	 0.95	
