T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
410 0.4088	0.0005	 0.0780	0.0003	 22.10	0.06	 11.40	0.04	 0.600	0.004	
400 0.4331	0.0005	 0.0613	0.0001	 18.63	0.06	 13.12	0.03	 0.660	0.003	
390 0.4537	0.0007	 0.0489	0.0001	 15.60	0.05	 14.54	0.03	 0.710	0.003	
380 0.4715	0.0006	 0.03944	0.00007	 12.95	0.04	 15.70	0.03	 0.750	0.003	
370 0.4876	0.0005	 0.03187	0.00004	 10.66	0.04	 16.71	0.03	 0.784	0.004	
360 0.5025	0.0005	 0.02568	0.00003	 8.67	0.04	 17.62	0.02	 0.814	0.004	
350 0.5166	0.0004	 0.02056	0.00003	 6.98	0.04	 18.44	0.02	 0.841	0.005	
340 0.5297	0.0005	 0.01633	0.00003	 5.54	0.03	 19.20	0.02	 0.865	0.006	
330 0.5421	0.0007	 0.01284	0.00003	 4.33	0.03	 19.89	0.03	 0.887	0.007	
320 0.5540	0.0008	 0.00997	0.00003	 3.33	0.03	 20.54	0.03	 0.906	0.009	
310 0.5656	0.0009	 0.00763	0.00003	 2.52	0.03	 21.15	0.03	 0.92	0.01	
300 0.577	0.001	 0.00574	0.00003	 1.86	0.02	 21.75	0.05	 0.94	0.01	
290 0.589	0.002	 0.00423	0.00004	 1.35	0.02	 22.32	0.07	 0.95	0.02	
280 0.600	0.001	 0.00305	0.00003	 0.95	0.02	 22.86	0.06	 0.96	0.02	
