T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
540 0.4222	0.0005	 0.0846	0.0006	 19.47	0.03	 15.97	0.06	 0.585	0.005	
530 0.4459	0.0003	 0.0687	0.0004	 16.88	0.02	 18.22	0.03	 0.637	0.004	
520 0.4663	0.0004	 0.0564	0.0002	 14.57	0.01	 20.15	0.01	 0.682	0.003	
510 0.4840	0.0005	 0.04681	0.00008	 12.52	0.01	 21.80	0.02	 0.720	0.002	
500 0.4999	0.0005	 0.03901	0.00004	 10.69	0.01	 23.23	0.02	 0.753	0.001	
490 0.5145	0.0004	 0.03254	0.00003	 9.07	0.01	 24.51	0.02	 0.782	0.002	
480 0.5280	0.0004	 0.02710	0.00003	 7.64	0.01	 25.69	0.03	 0.807	0.002	
470 0.5408	0.0005	 0.02249	0.00002	 6.39	0.01	 26.78	0.03	 0.831	0.002	
460 0.5531	0.0004	 0.01858	0.00002	 5.30	0.01	 27.80	0.03	 0.852	0.002	
450 0.5649	0.0003	 0.01526	0.00001	 4.35	0.01	 28.77	0.02	 0.871	0.002	
440 0.5763	0.0004	 0.01244	0.00001	 3.54	0.01	 29.69	0.03	 0.888	0.003	
430 0.5871	0.0004	 0.01006	0.00002	 2.847	0.009	 30.55	0.03	 0.904	0.003	
420 0.5976	0.0003	 0.00806	0.00001	 2.263	0.009	 31.37	0.02	 0.919	0.004	
410 0.6076	0.0004	 0.00639	0.00001	 1.775	0.008	 32.15	0.03	 0.932	0.005	
400 0.6172	0.0004	 0.00500	0.00001	 1.373	0.007	 32.89	0.03	 0.943	0.006	
390 0.6267	0.0005	 0.00387	0.00001	 1.046	0.006	 33.61	0.04	 0.953	0.007	
380 0.6363	0.0006	 0.00294	0.00001	 0.783	0.005	 34.33	0.04	 0.962	0.008	
370 0.6464	0.0004	 0.00220	0.00001	 0.575	0.004	 35.07	0.03	 0.970	0.009	
