T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
510 0.4052	0.0007	 0.0867	0.0003	 20.93	0.05	 14.30	0.06	 0.570	0.003	
500 0.4306	0.0004	 0.0695	0.0002	 18.02	0.04	 16.56	0.03	 0.624	0.003	
490 0.4520	0.0003	 0.0564	0.0001	 15.44	0.04	 18.49	0.02	 0.673	0.003	
480 0.4705	0.0003	 0.04632	0.00009	 13.15	0.04	 20.11	0.02	 0.713	0.003	
470 0.4871	0.0003	 0.03822	0.00007	 11.13	0.03	 21.51	0.02	 0.747	0.003	
460 0.5023	0.0002	 0.03157	0.00005	 9.36	0.03	 22.77	0.01	 0.777	0.003	
450 0.5163	0.0002	 0.02601	0.00004	 7.80	0.03	 23.917	0.005	 0.803	0.004	
440 0.5294	0.0003	 0.02135	0.00003	 6.45	0.03	 24.972	0.008	 0.827	0.004	
430 0.5420	0.0005	 0.01743	0.00002	 5.28	0.03	 25.96	0.02	 0.849	0.005	
420 0.5540	0.0005	 0.01412	0.00002	 4.27	0.03	 26.88	0.02	 0.868	0.006	
410 0.5654	0.0004	 0.01135	0.00002	 3.42	0.03	 27.75	0.02	 0.886	0.008	
400 0.5765	0.0004	 0.00903	0.00003	 2.70	0.02	 28.58	0.02	 0.902	0.009	
390 0.5872	0.0005	 0.00711	0.00003	 2.11	0.02	 29.37	0.01	 0.92	0.01	
380 0.5976	0.0007	 0.00552	0.00003	 1.62	0.02	 30.12	0.03	 0.93	0.01	
370 0.6074	0.0007	 0.00423	0.00004	 1.22	0.02	 30.83	0.03	 0.94	0.02	
360 0.6171	0.0004	 0.00319	0.00003	 0.90	0.02	 31.51	0.02	 0.95	0.02	
350 0.6269	0.0003	 0.00236	0.00003	 0.66	0.01	 32.18	0.03	 0.96	0.02	
