T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
470 0.4214	0.0003	 0.0768	0.0004	 20.73	0.06	 14.12	0.03	 0.595	0.004	
460 0.4444	0.0002	 0.0613	0.0003	 17.66	0.05	 16.05	0.02	 0.649	0.004	
450 0.4644	0.0001	 0.0494	0.0002	 14.96	0.04	 17.72	0.02	 0.698	0.004	
440 0.4819	0.0002	 0.0402	0.0001	 12.60	0.04	 19.12	0.01	 0.738	0.004	
430 0.4977	0.0002	 0.03285	0.00008	 10.53	0.03	 20.35	0.02	 0.773	0.004	
420 0.5123	0.0002	 0.02684	0.00006	 8.73	0.03	 21.44	0.02	 0.803	0.004	
410 0.5260	0.0003	 0.02186	0.00004	 7.17	0.03	 22.44	0.02	 0.829	0.004	
400 0.5390	0.0003	 0.01771	0.00003	 5.83	0.03	 23.37	0.02	 0.853	0.005	
390 0.5514	0.0003	 0.01424	0.00003	 4.68	0.03	 24.23	0.02	 0.874	0.005	
380 0.5630	0.0002	 0.01135	0.00003	 3.71	0.02	 25.02	0.02	 0.893	0.006	
370 0.5742	0.0003	 0.00895	0.00003	 2.91	0.02	 25.76	0.02	 0.910	0.007	
360 0.5849	0.0003	 0.00697	0.00003	 2.24	0.02	 26.47	0.02	 0.925	0.009	
350 0.5953	0.0002	 0.00536	0.00003	 1.70	0.01	 27.138	0.008	 0.94	0.01	
340 0.6055	0.0005	 0.00405	0.00003	 1.26	0.01	 27.78	0.02	 0.95	0.01	
330 0.6154	0.0006	 0.00301	0.00002	 0.92	0.01	 28.39	0.03	 0.96	0.01	
320 0.6250	0.0005	 0.00219	0.00002	 0.653	0.008	 28.98	0.03	 0.96	0.02	
