T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
450	0.434	0.002		0.096	0.002		36.3	0.1		11.7	0.1		0.55	0.01	
440	0.466	0.001		0.0747	0.0005		30.73	0.05		13.90	0.04		0.609	0.005	
430	0.491	0.001		0.0592	0.0001		25.88	0.04		15.67	0.03		0.662	0.002	
420	0.5120	0.0006		0.04754	0.00008		21.65	0.03		17.11	0.03		0.705	0.002	
410	0.5311	0.0005		0.03838	0.00005		17.96	0.03		18.38	0.03		0.743	0.002	
400	0.5490	0.0005		0.03097	0.00004		14.77	0.02		19.52	0.03		0.776	0.002	
390	0.5654	0.0003		0.02491	0.00004		12.03	0.02		20.54	0.02		0.806	0.002	
380	0.5809	0.0002		0.01992	0.00004		9.69	0.02		21.49	0.02		0.832	0.002	
370	0.5958	0.0005		0.01582	0.00003		7.70	0.02		22.38	0.02		0.856	0.002	
360	0.6100	0.0009		0.01244	0.00001		6.04	0.01		23.20	0.03		0.878	0.002	
350	0.6229	0.0008		0.00967	0.00001		4.67	0.01		23.95	0.03		0.897	0.003	
340	0.6346	0.0007		0.00742	0.00002		3.55	0.01		24.62	0.03		0.915	0.004	
330	0.6464	0.0007		0.00561	0.00002		2.65	0.01		25.26	0.03		0.930	0.005	
