T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
510 0.433	0.001	 0.0842	0.0004	 21.29	0.04	 14.75	0.06	 0.598	0.004	
500 0.4553	0.0006	 0.0685	0.0003	 18.44	0.04	 16.71	0.04	 0.649	0.003	
490 0.4747	0.0003	 0.0565	0.0002	 15.90	0.03	 18.34	0.03	 0.692	0.003	
480 0.4917	0.0003	 0.0470	0.0001	 13.64	0.03	 19.73	0.02	 0.728	0.003	
470 0.5072	0.0003	 0.03926	0.00007	 11.63	0.03	 20.95	0.01	 0.760	0.003	
460 0.5215	0.0003	 0.03278	0.00004	 9.85	0.03	 22.05	0.01	 0.787	0.003	
450 0.5349	0.0004	 0.02731	0.00002	 8.28	0.02	 23.07	0.02	 0.812	0.003	
440 0.5476	0.0003	 0.02266	0.00001	 6.90	0.02	 24.01	0.02	 0.834	0.003	
430 0.5597	0.0004	 0.01869	0.00002	 5.70	0.02	 24.89	0.03	 0.854	0.004	
420 0.5712	0.0007	 0.01532	0.00002	 4.66	0.02	 25.70	0.04	 0.873	0.004	
410 0.5820	0.0007	 0.01246	0.00002	 3.77	0.02	 26.47	0.03	 0.890	0.005	
400 0.5923	0.0005	 0.01004	0.00002	 3.02	0.02	 27.18	0.02	 0.906	0.007	
390 0.6024	0.0004	 0.00801	0.00002	 2.38	0.02	 27.86	0.03	 0.920	0.008	
380 0.6124	0.0007	 0.00632	0.00002	 1.86	0.02	 28.52	0.05	 0.93	0.01	
370 0.622	0.001	 0.00492	0.00002	 1.42	0.02	 29.17	0.07	 0.94	0.01	
360 0.632	0.002	 0.00377	0.00002	 1.07	0.01	 29.80	0.09	 0.95	0.01	
