T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
550 0.4216	 0.097	 21.061	 14.6	 0.54	
540 0.4432	 0.0768	 18.30	 17.2	 0.606	
530 0.4633	 0.0620	 15.85	 19.43	 0.662	
520 0.4813	 0.0512	 13.68	 21.20	 0.706	
510 0.4975	 0.04278	 11.75	 22.69	 0.740	
500 0.5123	 0.03582	 10.03	 24.00	 0.770	
490 0.5260	 0.02998	 8.51	 25.20	 0.796	
480 0.5390	 0.02502	 7.17	 26.30	 0.820	
470 0.5514	 0.02081	 5.99	 27.34	 0.841	
460 0.5633	 0.01721	 4.96	 28.32	 0.861	
450 0.5747	 0.01414	 4.07	 29.24	 0.879	
440 0.5855	 0.01154	 3.31	 30.10	 0.896	
430 0.5957	 0.00933	 2.66	 30.91	 0.911	
420 0.6056	 0.00748	 2.11	 31.67	 0.924	
410 0.6151	 0.00593	 1.66	 32.40	 0.936	
400 0.6244	 0.00465	 1.28	 33.11	 0.95	
390 0.6338	 0.00359	 0.975	 33.80	 0.96	
380 0.6432	 0.00274	 0.729	 34.49	 0.96	
370 0.6524	 0.00205	 0.535	 35.15	 0.97	
