T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
540 0.4263	0.0004	 0.0803	0.0004	 18.72	0.04	 16.75	0.06	 0.593	0.004	
530 0.4494	0.0003	 0.0651	0.0003	 16.18	0.03	 19.01	0.04	 0.645	0.004	
520 0.4692	0.0003	 0.0534	0.0002	 13.93	0.02	 20.93	0.03	 0.690	0.003	
510 0.4865	0.0003	 0.0442	0.0001	 11.93	0.02	 22.56	0.02	 0.727	0.003	
500 0.5022	0.0003	 0.03679	0.00009	 10.16	0.01	 24.00	0.02	 0.759	0.003	
490 0.5166	0.0003	 0.03061	0.00007	 8.59	0.01	 25.29	0.02	 0.787	0.002	
480 0.5300	0.0003	 0.02541	0.00005	 7.214	0.008	 26.48	0.02	 0.813	0.002	
470 0.5427	0.0003	 0.02102	0.00004	 6.010	0.007	 27.58	0.02	 0.836	0.002	
460 0.5548	0.0003	 0.01730	0.00003	 4.963	0.006	 28.62	0.02	 0.857	0.002	
450 0.5663	0.0002	 0.01415	0.00002	 4.061	0.005	 29.59	0.01	 0.876	0.002	
440 0.5775	0.0003	 0.01149	0.00002	 3.289	0.005	 30.52	0.02	 0.894	0.002	
430 0.5884	0.0002	 0.00925	0.00001	 2.634	0.004	 31.41	0.01	 0.910	0.002	
420 0.5990	0.0002	 0.00738	0.00001	 2.083	0.004	 32.26	0.02	 0.924	0.002	
410 0.6091	0.0003	 0.005820	0.000008	 1.626	0.003	 33.06	0.03	 0.936	0.002	
400 0.6187	0.0004	 0.004536	0.000006	 1.250	0.003	 33.81	0.04	 0.947	0.003	
390 0.6279	0.0004	 0.003487	0.000006	 0.946	0.002	 34.53	0.03	 0.956	0.003	
380 0.6371	0.0005	 0.002639	0.000005	 0.704	0.002	 35.24	0.04	 0.964	0.003	
370 0.646	0.001	 0.001963	0.000004	 0.513	0.002	 35.9	0.1	 0.971	0.004	
