T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
520 0.4084	0.0003	 0.0945	0.0004	 22.83	0.03	 13.76	0.03	 0.560	0.004	
510 0.4341	0.0004	 0.0760	0.0003	 19.76	0.02	 16.06	0.02	 0.615	0.003	
500 0.4561	0.0004	 0.0618	0.0001	 17.03	0.02	 18.04	0.02	 0.665	0.002	
490 0.4750	0.0004	 0.05090	0.00005	 14.61	0.01	 19.69	0.02	 0.706	0.001	
480 0.4918	0.0003	 0.04223	0.00002	 12.45	0.01	 21.11	0.02	 0.740	0.001	
470 0.5071	0.0003	 0.03510	0.00002	 10.55	0.01	 22.37	0.02	 0.770	0.001	
460 0.5214	0.0003	 0.02912	0.00002	 8.86	0.01	 23.53	0.02	 0.797	0.001	
450 0.5347	0.0004	 0.02408	0.00001	 7.39	0.01	 24.59	0.03	 0.822	0.001	
440 0.5472	0.0005	 0.019821	0.000009	 6.11	0.01	 25.57	0.03	 0.844	0.002	
430 0.5592	0.0004	 0.016215	0.000009	 5.002	0.009	 26.49	0.03	 0.865	0.002	
420 0.5708	0.0002	 0.01317	0.00001	 4.053	0.009	 27.36	0.02	 0.883	0.002	
410 0.5820	0.0001	 0.01060	0.00001	 3.246	0.008	 28.19	0.01	 0.900	0.003	
400 0.5929	0.0002	 0.00845	0.00001	 2.567	0.007	 28.98	0.02	 0.915	0.003	
390 0.6032	0.0004	 0.00666	0.00001	 2.002	0.006	 29.73	0.02	 0.929	0.004	
380 0.6133	0.0006	 0.00519	0.00001	 1.538	0.005	 30.44	0.04	 0.941	0.004	
370 0.6229	0.0006	 0.00398	0.00001	 1.162	0.005	 31.11	0.04	 0.951	0.005	
360 0.6323	0.0006	 0.00301	0.00001	 0.862	0.004	 31.76	0.04	 0.961	0.005	
350 0.6416	0.0002	 0.002229	0.000009	 0.627	0.003	 32.39	0.02	 0.969	0.006	
