T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
540 0.4166	 0.0822	 18.81	 16.25	 0.582	
530 0.4400	 0.0664	 16.26	 18.58	 0.635	
520 0.4603	 0.0543	 14.00	 20.58	 0.681	
510 0.4781	 0.0449	 11.99	 22.27	 0.719	
500 0.4940	 0.0373	 10.21	 23.74	 0.752	
490 0.5086	 0.03100	 8.63	 25.06	 0.781	
480 0.5222	 0.02571	 7.25	 26.28	 0.807	
470 0.5350	 0.02125	 6.04	 27.40	 0.830	
460 0.5472	 0.01748	 4.98	 28.46	 0.852	
450 0.5590	 0.01429	 4.077	 29.45	 0.871	
440 0.5702	 0.01160	 3.300	 30.39	 0.889	
430 0.5810	 0.00933	 2.642	 31.28	 0.905	
420 0.5912	 0.007436	 2.089	 32.11	 0.919	
410 0.6012	 0.005863	 1.630	 32.91	 0.932	
400 0.6109	 0.004567	 1.254	 33.68	 0.943	
390 0.6206	 0.00351	 0.949	 34.44	 0.953	
380 0.6302	 0.00265	 0.705	 35.18	 0.961	
370 0.6397	 0.001972	 0.514	 35.90	 0.968	
