T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
540 0.4166	0.0003	 0.0822	0.0004	 18.81	0.05	 16.25	0.05	 0.582	0.004	
530 0.4400	0.0003	 0.0664	0.0003	 16.26	0.04	 18.58	0.04	 0.635	0.004	
520 0.4603	0.0003	 0.0543	0.0002	 14.00	0.03	 20.58	0.03	 0.681	0.004	
510 0.4781	0.0003	 0.0449	0.0002	 11.99	0.03	 22.27	0.03	 0.719	0.004	
500 0.4940	0.0003	 0.0373	0.0001	 10.21	0.02	 23.74	0.02	 0.752	0.003	
490 0.5086	0.0003	 0.03100	0.00008	 8.63	0.02	 25.06	0.02	 0.781	0.003	
480 0.5222	0.0003	 0.02571	0.00006	 7.25	0.01	 26.28	0.02	 0.807	0.003	
470 0.5350	0.0003	 0.02125	0.00004	 6.04	0.01	 27.40	0.02	 0.830	0.002	
460 0.5472	0.0003	 0.01748	0.00002	 4.98	0.01	 28.46	0.01	 0.852	0.002	
450 0.5590	0.0002	 0.01429	0.00002	 4.077	0.009	 29.45	0.01	 0.871	0.002	
440 0.5702	0.0001	 0.01160	0.00001	 3.300	0.008	 30.39	0.01	 0.889	0.002	
430 0.5810	0.0002	 0.00933	0.00001	 2.642	0.007	 31.28	0.02	 0.905	0.003	
420 0.5912	0.0004	 0.007436	0.000008	 2.089	0.007	 32.11	0.03	 0.919	0.003	
410 0.6012	0.0007	 0.005863	0.000008	 1.630	0.007	 32.91	0.05	 0.932	0.004	
400 0.6109	0.0008	 0.004567	0.000009	 1.254	0.006	 33.68	0.05	 0.943	0.005	
390 0.6206	0.0006	 0.00351	0.00001	 0.949	0.006	 34.44	0.03	 0.953	0.007	
380 0.6302	0.0003	 0.00265	0.00001	 0.705	0.005	 35.18	0.03	 0.961	0.008	
370 0.6397	0.0006	 0.001972	0.000009	 0.514	0.004	 35.90	0.06	 0.968	0.009	
