T (K)	rhol (kg/L)	rhov (kg/L)	Psat (bar)	DeltaH (kJ/mol)
500	0.366018	0.112352	27.697	10.594
490	0.395855	0.090541	23.906	12.917
480	0.422477	0.072249	20.521	15.112
470	0.444562	0.058283	17.529	16.972
460	0.463473	0.047563	14.889	18.534
450	0.480498	0.039028	12.563	19.899
440	0.496217	0.032053	10.522	21.125
430	0.510897	0.02627	8.738	22.247
420	0.524727	0.021441	7.19	23.283
410	0.537821	0.017397	5.857	24.245
400	0.550308	0.014013	4.717	25.146
390	0.562197	0.01119	3.753	25.99
380	0.573494	0.008846	2.946	26.778
370	0.584216	0.006913	2.279	27.514
360	0.594369	0.005331	1.734	28.201
350	0.604257	0.00405	1.296	28.856
340	0.614026	0.003023	0.949	29.489
330	0.62344	0.002213	0.68	30.086
320	0.631598	0.001584	0.476	30.596
