T (K)	rhol (kg/L)		rhov (kg/L)		Psat (bar)		DeltaHv (kJ/mol)	
353.93	0.7158	0	0.003460418	0	1.2113	0	27.4712	0
360	0.7095	0	0.004332786	0	1.598	0	27.1424	0
380	0.6904	0	0.006992919	0	2.641	0	26.4121	0
400	0.6691	0	0.01062901	0	4.0911	0	25.2417	0
420	0.6468	0	0.014894914	0	6.0815	0	24.3116	0
440	0.6234	0	0.021897537	0	8.8714	0	22.901	0
460	0.5965	0	0.028691923	0	12.022	0	21.6412	0
480	0.5697	0	0.041021503	0	16.5932	0	19.8815	0
500	0.5372	0	0.056726873	0	21.9126	0	17.8112	0
510	0.5111	0	0.070706178	0	22.3013	0	14.5789	0
