T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
520 0.399	 0.0963	 23.06	 13.5	 0.555	
510 0.4263	 0.0768	 19.96	 15.92	 0.614	
500 0.4484	 0.0626	 17.21	 17.89	 0.663	
490 0.4671	 0.0517	 14.76	 19.52	 0.702	
480 0.4836	 0.04289	 12.58	 20.93	 0.736	
470 0.4988	 0.03563	 10.65	 22.20	 0.767	
460 0.5131	 0.02954	 8.96	 23.37	 0.794	
450 0.5269	 0.02441	 7.47	 24.47	 0.819	
440 0.5396	 0.02007	 6.17	 25.48	 0.842	
430 0.5516	 0.01641	 5.06	 26.41	 0.864	
420 0.5632	 0.01331	 4.10	 27.30	 0.883	
410 0.5744	 0.01071	 3.28	 28.15	 0.900	
400 0.5851	 0.00854	 2.60	 28.94	 0.916	
390 0.5956	 0.00673	 2.03	 29.70	 0.930	
380 0.6056	 0.00524	 1.56	 30.42	 0.94	
370 0.6153	 0.00402	 1.18	 31.10	 0.95	
360 0.6257	 0.00304	 0.87	 31.82	 0.96	
