T (K) rhol urhol (gm/cm3) rhov urhov (gm/cm3) P uP (bar) Hv uHv (kJ/mol) Z uZ
530 0.418	0.002	 0.096	0.001	 21.3	0.2	 13.5	0.1	 0.57	0.01	
520 0.4431	0.0004	 0.0787	0.0007	 18.7	0.1	 15.55	0.07	 0.626	0.009	
510 0.4639	0.0007	 0.0656	0.0007	 16.3	0.1	 17.25	0.05	 0.67	0.01	
500 0.4819	0.0009	 0.0552	0.0006	 14.14	0.09	 18.66	0.05	 0.70	0.01	
490 0.4980	0.0009	 0.0466	0.0005	 12.21	0.07	 19.91	0.04	 0.73	0.01	
480 0.5129	0.0009	 0.0394	0.0003	 10.48	0.06	 21.03	0.02	 0.762	0.008	
470 0.5267	0.0008	 0.0332	0.0002	 8.94	0.04	 22.06	0.03	 0.788	0.007	
460 0.5396	0.0009	 0.0279	0.0001	 7.57	0.04	 23.01	0.04	 0.811	0.006	
450 0.5520	0.0007	 0.02332	0.00009	 6.36	0.03	 23.89	0.03	 0.833	0.006	
440 0.5640	0.0005	 0.01942	0.00007	 5.30	0.03	 24.73	0.02	 0.852	0.006	
430 0.5756	0.0005	 0.01609	0.00005	 4.38	0.03	 25.52	0.03	 0.870	0.007	
420 0.5866	0.0009	 0.01323	0.00004	 3.58	0.03	 26.26	0.05	 0.885	0.008	
410 0.597	0.001	 0.01080	0.00003	 2.89	0.03	 26.95	0.07	 0.90	0.01	
400 0.607	0.001	 0.00873	0.00003	 2.31	0.03	 27.59	0.06	 0.91	0.01	
390 0.617	0.001	 0.00697	0.00003	 1.82	0.03	 28.20	0.04	 0.92	0.01	
380 0.626	0.001	 0.00550	0.00004	 1.42	0.02	 28.77	0.04	 0.93	0.02	
370 0.635	0.001	 0.00428	0.00004	 1.08	0.02	 29.34	0.06	 0.94	0.02	
