T (K) rhol (gm/cm3) rhov (gm/cm3) P (bar) Hv (kJ/mol) Z
400 0.4210	 0.0767	 21.76	 10.97	 0.615	
390 0.4452	 0.0612	 18.41	 12.45	 0.669	
380 0.4656	 0.04940	 15.46	 13.67	 0.715	
370 0.4833	 0.04012	 12.88	 14.70	 0.753	
360 0.4994	 0.03261	 10.64	 15.60	 0.786	
350 0.5143	 0.02642	 8.69	 16.40	 0.815	
340 0.5283	 0.02128	 7.01	 17.13	 0.841	
330 0.5416	 0.01699	 5.58	 17.80	 0.864	
320 0.5543	 0.01342	 4.38	 18.42	 0.885	
310 0.5664	 0.01047	 3.38	 18.99	 0.904	
300 0.5780	 0.00805	 2.56	 19.52	 0.921	
290 0.5895	 0.00608	 1.90	 20.03	 0.936	
280 0.6011	 0.00450	 1.38	 20.53	 0.95	
270 0.6125	 0.00326	 0.97	 21.00	 0.96	
